image,critical,high,total
longhornio/backing-image-manager:v1.9.x-head,0,14,14
longhornio/csi-attacher:v4.10.0-20251030,0,5,5
longhornio/csi-node-driver-registrar:v2.15.0-20251030,0,5,5
longhornio/csi-provisioner:v5.3.0-20251030,0,4,4
longhornio/csi-resizer:v1.14.0-20251030,0,4,4
longhornio/csi-snapshotter:v8.4.0-20251030,0,4,4
longhornio/livenessprobe:v2.17.0-20251030,0,5,5
longhornio/longhorn-cli:v1.9.x-head,0,9,9
longhornio/longhorn-engine:v1.9.x-head,0,9,9
longhornio/longhorn-instance-manager:v1.9.x-head,0,4,4
longhornio/longhorn-manager:v1.9.x-head,0,13,13
longhornio/longhorn-share-manager:v1.9.x-head,0,12,12
longhornio/longhorn-ui:v1.9.x-head,0,7,7
longhornio/support-bundle-kit:v0.0.76,3,17,20
