image,critical,high,total
longhornio/backing-image-manager:v1.8.2,3,66,69
longhornio/csi-attacher:v4.9.0,0,8,8
longhornio/csi-node-driver-registrar:v2.14.0,0,8,8
longhornio/csi-provisioner:v5.3.0,0,7,7
longhornio/csi-resizer:v1.13.2,0,6,6
longhornio/csi-snapshotter:v8.2.0,0,7,7
longhornio/livenessprobe:v2.16.0,0,8,8
longhornio/longhorn-cli:v1.8.2,3,38,41
longhornio/longhorn-engine:v1.8.2,4,71,75
longhornio/longhorn-instance-manager:v1.8.2,5,76,81
longhornio/longhorn-manager:v1.8.2,4,47,51
longhornio/longhorn-share-manager:v1.8.2,3,39,42
longhornio/longhorn-ui:v1.8.2,3,35,38
longhornio/support-bundle-kit:v0.0.56,3,33,36
