image,critical,high,total
longhornio/backing-image-manager:v1.8.2,3,63,66
longhornio/csi-attacher:v4.9.0,0,8,8
longhornio/csi-node-driver-registrar:v2.14.0,0,8,8
longhornio/csi-provisioner:v5.3.0,0,7,7
longhornio/csi-resizer:v1.13.2,0,6,6
longhornio/csi-snapshotter:v8.2.0,0,7,7
longhornio/livenessprobe:v2.16.0,0,8,8
longhornio/longhorn-cli:v1.8.2,3,35,38
longhornio/longhorn-engine:v1.8.2,4,68,72
longhornio/longhorn-instance-manager:v1.8.2,5,72,77
longhornio/longhorn-manager:v1.8.2,4,44,48
longhornio/longhorn-share-manager:v1.8.2,3,36,39
longhornio/longhorn-ui:v1.8.2,3,32,35
longhornio/support-bundle-kit:v0.0.56,3,30,33
