image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
longhornio/backing-image-manager:v1.7.2,longhorn/v1.7-head,glib2-tools,2.78.6-150600.4.3.1,suse linux enterprise server,SUSE-SU-2024:4254-1,HIGH,,longhornio/backing-image-manager:v1.7.2 (suse linux enterprise server 15.6),2.78.6-150600.4.8.1,false,affected,
longhornio/backing-image-manager:v1.7.2,longhorn/v1.7-head,libgio-2_0-0,2.78.6-150600.4.3.1,suse linux enterprise server,SUSE-SU-2024:4254-1,HIGH,,longhornio/backing-image-manager:v1.7.2 (suse linux enterprise server 15.6),2.78.6-150600.4.8.1,false,affected,
longhornio/backing-image-manager:v1.7.2,longhorn/v1.7-head,libglib-2_0-0,2.78.6-150600.4.3.1,suse linux enterprise server,SUSE-SU-2024:4254-1,HIGH,,longhornio/backing-image-manager:v1.7.2 (suse linux enterprise server 15.6),2.78.6-150600.4.8.1,false,affected,
longhornio/backing-image-manager:v1.7.2,longhorn/v1.7-head,libgmodule-2_0-0,2.78.6-150600.4.3.1,suse linux enterprise server,SUSE-SU-2024:4254-1,HIGH,,longhornio/backing-image-manager:v1.7.2 (suse linux enterprise server 15.6),2.78.6-150600.4.8.1,false,affected,
longhornio/backing-image-manager:v1.7.2,longhorn/v1.7-head,libgobject-2_0-0,2.78.6-150600.4.3.1,suse linux enterprise server,SUSE-SU-2024:4254-1,HIGH,,longhornio/backing-image-manager:v1.7.2 (suse linux enterprise server 15.6),2.78.6-150600.4.8.1,false,affected,
longhornio/backing-image-manager:v1.7.2,longhorn/v1.7-head,qemu-img,8.2.6-150600.3.15.1,suse linux enterprise server,SUSE-SU-2024:3744-1,HIGH,,longhornio/backing-image-manager:v1.7.2 (suse linux enterprise server 15.6),8.2.7-15061.6.coco15sp6.1,false,affected,
longhornio/backing-image-manager:v1.7.2,longhorn/v1.7-head,qemu-img,8.2.6-150600.3.15.1,suse linux enterprise server,SUSE-SU-2024:4094-1,HIGH,,longhornio/backing-image-manager:v1.7.2 (suse linux enterprise server 15.6),8.2.7-150600.3.20.1,false,affected,
longhornio/backing-image-manager:v1.7.2,longhorn/v1.7-head,qemu-pr-helper,8.2.6-150600.3.15.1,suse linux enterprise server,SUSE-SU-2024:3744-1,HIGH,,longhornio/backing-image-manager:v1.7.2 (suse linux enterprise server 15.6),8.2.7-15061.6.coco15sp6.1,false,affected,
longhornio/backing-image-manager:v1.7.2,longhorn/v1.7-head,qemu-pr-helper,8.2.6-150600.3.15.1,suse linux enterprise server,SUSE-SU-2024:4094-1,HIGH,,longhornio/backing-image-manager:v1.7.2 (suse linux enterprise server 15.6),8.2.7-150600.3.20.1,false,affected,
longhornio/backing-image-manager:v1.7.2,longhorn/v1.7-head,qemu-tools,8.2.6-150600.3.15.1,suse linux enterprise server,SUSE-SU-2024:3744-1,HIGH,,longhornio/backing-image-manager:v1.7.2 (suse linux enterprise server 15.6),8.2.7-15061.6.coco15sp6.1,false,affected,
longhornio/backing-image-manager:v1.7.2,longhorn/v1.7-head,qemu-tools,8.2.6-150600.3.15.1,suse linux enterprise server,SUSE-SU-2024:4094-1,HIGH,,longhornio/backing-image-manager:v1.7.2 (suse linux enterprise server 15.6),8.2.7-150600.3.20.1,false,affected,
longhornio/csi-attacher:v4.7.0,longhorn/v1.7-head,stdlib,v1.22.5,gobinary,CVE-2024-34156,HIGH,https://avd.aquasec.com/nvd/cve-2024-34156,csi-attacher,"1.22.7, 1.23.1",false,affected,
longhornio/csi-node-driver-registrar:v2.12.0,longhorn/v1.7-head,stdlib,v1.22.5,gobinary,CVE-2024-34156,HIGH,https://avd.aquasec.com/nvd/cve-2024-34156,csi-node-driver-registrar,"1.22.7, 1.23.1",false,affected,
longhornio/csi-provisioner:v4.0.1-20241007,longhorn/v1.7-head,stdlib,v1.21.13,gobinary,CVE-2024-34156,HIGH,https://avd.aquasec.com/nvd/cve-2024-34156,csi-provisioner,"1.22.7, 1.23.1",false,affected,
longhornio/csi-resizer:v1.12.0,longhorn/v1.7-head,stdlib,v1.22.5,gobinary,CVE-2024-34156,HIGH,https://avd.aquasec.com/nvd/cve-2024-34156,csi-resizer,"1.22.7, 1.23.1",false,affected,
longhornio/csi-snapshotter:v7.0.2-20241007,longhorn/v1.7-head,stdlib,v1.21.13,gobinary,CVE-2024-34156,HIGH,https://avd.aquasec.com/nvd/cve-2024-34156,csi-snapshotter,"1.22.7, 1.23.1",false,affected,
longhornio/livenessprobe:v2.14.0,longhorn/v1.7-head,stdlib,v1.22.5,gobinary,CVE-2024-34156,HIGH,https://avd.aquasec.com/nvd/cve-2024-34156,livenessprobe,"1.22.7, 1.23.1",false,affected,
longhornio/longhorn-cli:v1.7.2,longhorn/v1.7-head,libglib-2_0-0,2.78.6-150600.4.3.1,suse linux enterprise server,SUSE-SU-2024:4254-1,HIGH,,longhornio/longhorn-cli:v1.7.2 (suse linux enterprise server 15.6),2.78.6-150600.4.8.1,false,affected,
longhornio/longhorn-engine:v1.7.2,longhorn/v1.7-head,libglib-2_0-0,2.78.6-150600.4.3.1,suse linux enterprise server,SUSE-SU-2024:4254-1,HIGH,,longhornio/longhorn-engine:v1.7.2 (suse linux enterprise server 15.6),2.78.6-150600.4.8.1,false,affected,
