image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
neuvector/controller:5.4.11,neuvector/v5.4,golang.org/x/crypto,v0.55.0,gobinary,CVE-2026-56855,HIGH,https://avd.aquasec.com/nvd/cve-2026-56855,usr/local/bin/opa,0.56.0,false,affected,severity_changed_due_to_suse_cvss_score
neuvector/controller:5.4.11,neuvector/v5.4,golang.org/x/crypto,v0.55.0,gobinary,CVE-2026-78662,HIGH,https://avd.aquasec.com/nvd/cve-2026-78662,usr/local/bin/opa,0.56.0,false,affected,severity_changed_due_to_suse_cvss_score
neuvector/enforcer:5.4.11,neuvector/v5.4,libpcap-devel,1.10.5-150700.3.10.1,sles,SUSE-SU-2026:4188-1,HIGH,,neuvector/enforcer:5.4.11 (sles 15.7),1.10.5-150700.3.13.1,false,affected,
neuvector/enforcer:5.4.11,neuvector/v5.4,libpcap1,1.10.5-150700.3.10.1,sles,SUSE-SU-2026:4188-1,HIGH,,neuvector/enforcer:5.4.11 (sles 15.7),1.10.5-150700.3.13.1,false,affected,
neuvector/prometheus-exporter:1.0.19,neuvector/v5.4,setuptools,70.3.0,python-pkg,CVE-2025-47273,HIGH,https://avd.aquasec.com/nvd/cve-2025-47273,Python,78.1.1,false,affected,
neuvector/prometheus-exporter:1.0.19,neuvector/v5.4,msgpack,1.1.2,python-pkg,GHSA-6v7p-g79w-8964,HIGH,https://github.com/advisories/GHSA-6v7p-g79w-8964,Python,1.2.1,false,affected,
neuvector/prometheus-exporter:1.0.19,neuvector/v5.4,libacl1,2.2.52-4.3.1,sles,SUSE-SU-2026:4176-1,HIGH,,neuvector/prometheus-exporter:1.0.19 (sles 15.7),2.4.0-150000.4.6.1,false,affected,
neuvector/prometheus-exporter:1.0.19,neuvector/v5.4,libattr1,2.4.47-2.19,sles,SUSE-SU-2026:4176-1,HIGH,,neuvector/prometheus-exporter:1.0.19 (sles 15.7),2.6.0-150000.4.3.1,false,affected,
neuvector/scanner:6,neuvector/v5.4,libacl1,2.2.52-4.3.1,sles,SUSE-SU-2026:4176-1,HIGH,,neuvector/scanner:6 (sles 15.7),2.4.0-150000.4.6.1,false,affected,
neuvector/scanner:6,neuvector/v5.4,libattr1,2.4.47-2.19,sles,SUSE-SU-2026:4176-1,HIGH,,neuvector/scanner:6 (sles 15.7),2.6.0-150000.4.3.1,false,affected,
