image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.8.0,harvester/master,libcrypto3,3.3.1-r3,alpine,CVE-2024-12797,HIGH,https://avd.aquasec.com/nvd/cve-2024-12797,ghcr.io/k8snetworkplumbingwg/whereabouts:v0.8.0 (alpine 3.20.2),3.3.3-r0,false,affected,
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.8.0,harvester/master,libcrypto3,3.3.1-r3,alpine,CVE-2024-6119,HIGH,https://avd.aquasec.com/nvd/cve-2024-6119,ghcr.io/k8snetworkplumbingwg/whereabouts:v0.8.0 (alpine 3.20.2),3.3.2-r0,false,affected,
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.8.0,harvester/master,libssl3,3.3.1-r3,alpine,CVE-2024-12797,HIGH,https://avd.aquasec.com/nvd/cve-2024-12797,ghcr.io/k8snetworkplumbingwg/whereabouts:v0.8.0 (alpine 3.20.2),3.3.3-r0,false,affected,
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.8.0,harvester/master,libssl3,3.3.1-r3,alpine,CVE-2024-6119,HIGH,https://avd.aquasec.com/nvd/cve-2024-6119,ghcr.io/k8snetworkplumbingwg/whereabouts:v0.8.0 (alpine 3.20.2),3.3.2-r0,false,affected,
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.8.0,harvester/master,stdlib,v1.21.12,gobinary,CVE-2024-34156,MEDIUM,https://avd.aquasec.com/nvd/cve-2024-34156,ip-control-loop,"1.22.7, 1.23.1",false,affected,severity_changed_due_to_suse_cvss_score
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.8.0,harvester/master,stdlib,v1.21.12,gobinary,CVE-2024-34156,MEDIUM,https://avd.aquasec.com/nvd/cve-2024-34156,whereabouts,"1.22.7, 1.23.1",false,affected,severity_changed_due_to_suse_cvss_score
ghcr.io/kube-vip/kube-vip-iptables:v0.8.1,harvester/master,libcrypto3,3.3.1-r0,alpine,CVE-2024-12797,HIGH,https://avd.aquasec.com/nvd/cve-2024-12797,ghcr.io/kube-vip/kube-vip-iptables:v0.8.1 (alpine 3.20.0),3.3.3-r0,false,affected,
ghcr.io/kube-vip/kube-vip-iptables:v0.8.1,harvester/master,libcrypto3,3.3.1-r0,alpine,CVE-2024-6119,HIGH,https://avd.aquasec.com/nvd/cve-2024-6119,ghcr.io/kube-vip/kube-vip-iptables:v0.8.1 (alpine 3.20.0),3.3.2-r0,false,affected,
ghcr.io/kube-vip/kube-vip-iptables:v0.8.1,harvester/master,libssl3,3.3.1-r0,alpine,CVE-2024-12797,HIGH,https://avd.aquasec.com/nvd/cve-2024-12797,ghcr.io/kube-vip/kube-vip-iptables:v0.8.1 (alpine 3.20.0),3.3.3-r0,false,affected,
ghcr.io/kube-vip/kube-vip-iptables:v0.8.1,harvester/master,libssl3,3.3.1-r0,alpine,CVE-2024-6119,HIGH,https://avd.aquasec.com/nvd/cve-2024-6119,ghcr.io/kube-vip/kube-vip-iptables:v0.8.1 (alpine 3.20.0),3.3.2-r0,false,affected,
