image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3,harvester/master,libcrypto3,3.5.5-r0,alpine,CVE-2026-31789,CRITICAL,https://avd.aquasec.com/nvd/cve-2026-31789,ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3 (alpine 3.23.3),3.5.6-r0,false,affected,
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3,harvester/master,libcrypto3,3.5.5-r0,alpine,CVE-2026-28387,HIGH,https://avd.aquasec.com/nvd/cve-2026-28387,ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3 (alpine 3.23.3),3.5.6-r0,false,affected,
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3,harvester/master,libcrypto3,3.5.5-r0,alpine,CVE-2026-28388,HIGH,https://avd.aquasec.com/nvd/cve-2026-28388,ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3 (alpine 3.23.3),3.5.6-r0,false,affected,
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3,harvester/master,libcrypto3,3.5.5-r0,alpine,CVE-2026-28389,HIGH,https://avd.aquasec.com/nvd/cve-2026-28389,ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3 (alpine 3.23.3),3.5.6-r0,false,affected,
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3,harvester/master,libcrypto3,3.5.5-r0,alpine,CVE-2026-28390,HIGH,https://avd.aquasec.com/nvd/cve-2026-28390,ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3 (alpine 3.23.3),3.5.6-r0,false,affected,
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3,harvester/master,libssl3,3.5.5-r0,alpine,CVE-2026-31789,CRITICAL,https://avd.aquasec.com/nvd/cve-2026-31789,ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3 (alpine 3.23.3),3.5.6-r0,false,affected,
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3,harvester/master,libssl3,3.5.5-r0,alpine,CVE-2026-28387,HIGH,https://avd.aquasec.com/nvd/cve-2026-28387,ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3 (alpine 3.23.3),3.5.6-r0,false,affected,
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3,harvester/master,libssl3,3.5.5-r0,alpine,CVE-2026-28388,HIGH,https://avd.aquasec.com/nvd/cve-2026-28388,ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3 (alpine 3.23.3),3.5.6-r0,false,affected,
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3,harvester/master,libssl3,3.5.5-r0,alpine,CVE-2026-28389,HIGH,https://avd.aquasec.com/nvd/cve-2026-28389,ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3 (alpine 3.23.3),3.5.6-r0,false,affected,
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3,harvester/master,libssl3,3.5.5-r0,alpine,CVE-2026-28390,HIGH,https://avd.aquasec.com/nvd/cve-2026-28390,ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3 (alpine 3.23.3),3.5.6-r0,false,affected,
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3,harvester/master,musl,1.2.5-r21,alpine,CVE-2026-40200,HIGH,https://avd.aquasec.com/nvd/cve-2026-40200,ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3 (alpine 3.23.3),1.2.5-r23,false,affected,
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3,harvester/master,musl-utils,1.2.5-r21,alpine,CVE-2026-40200,HIGH,https://avd.aquasec.com/nvd/cve-2026-40200,ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3 (alpine 3.23.3),1.2.5-r23,false,affected,
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3,harvester/master,zlib,1.3.1-r2,alpine,CVE-2026-22184,HIGH,https://avd.aquasec.com/nvd/cve-2026-22184,ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3 (alpine 3.23.3),1.3.2-r0,false,affected,
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3,harvester/master,stdlib,v1.25.6,gobinary,CVE-2025-68121,CRITICAL,https://avd.aquasec.com/nvd/cve-2025-68121,ip-control-loop,"1.24.13, 1.25.7, 1.26.0-rc.3",false,affected,
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3,harvester/master,stdlib,v1.25.6,gobinary,CVE-2026-32280,HIGH,https://avd.aquasec.com/nvd/cve-2026-32280,ip-control-loop,"1.25.9, 1.26.2",false,affected,
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3,harvester/master,stdlib,v1.25.6,gobinary,CVE-2026-27142,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-27142,ip-control-loop,"1.25.8, 1.26.1",false,not_affected,vulnerable_code_not_present
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3,harvester/master,stdlib,v1.25.6,gobinary,CVE-2026-32282,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-32282,ip-control-loop,"1.25.9, 1.26.2",false,not_affected,vulnerable_code_not_in_execute_path
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.3,harvester/master,stdlib,v1.25.6,gobinary,CVE-2026-32288,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-32288,ip-control-loop,"1.25.9, 1.26.2",false,not_affected,vulnerable_code_not_present
