image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
fluent/fluent-bit:2.1.8,harvester/v1.4-head,libc6,2.31-13+deb11u6,debian,CVE-2023-4911,HIGH,https://avd.aquasec.com/nvd/cve-2023-4911,fluent/fluent-bit:2.1.8 (debian 11.7),2.31-13+deb11u7,false,affected,
fluent/fluent-bit:2.1.8,harvester/v1.4-head,libc6,2.31-13+deb11u6,debian,CVE-2024-2961,HIGH,https://avd.aquasec.com/nvd/cve-2024-2961,fluent/fluent-bit:2.1.8 (debian 11.7),2.31-13+deb11u9,false,affected,
fluent/fluent-bit:2.1.8,harvester/v1.4-head,libc6,2.31-13+deb11u6,debian,CVE-2024-33599,HIGH,https://avd.aquasec.com/nvd/cve-2024-33599,fluent/fluent-bit:2.1.8 (debian 11.7),2.31-13+deb11u10,false,affected,
fluent/fluent-bit:2.1.8,harvester/v1.4-head,libc6,2.31-13+deb11u6,debian,CVE-2025-4802,HIGH,https://avd.aquasec.com/nvd/cve-2025-4802,fluent/fluent-bit:2.1.8 (debian 11.7),2.31-13+deb11u13,false,affected,
fluent/fluent-bit:2.1.8,harvester/v1.4-head,libcom-err2,1.46.2-2,debian,CVE-2022-1304,HIGH,https://avd.aquasec.com/nvd/cve-2022-1304,fluent/fluent-bit:2.1.8 (debian 11.7),1.46.2-2+deb11u1,false,affected,
fluent/fluent-bit:2.1.8,harvester/v1.4-head,libgcrypt20,1.8.7-6,debian,CVE-2021-33560,HIGH,https://avd.aquasec.com/nvd/cve-2021-33560,fluent/fluent-bit:2.1.8 (debian 11.7),,false,affected,
fluent/fluent-bit:2.1.8,harvester/v1.4-head,libgnutls30,3.7.1-5+deb11u3,debian,CVE-2024-0553,HIGH,https://avd.aquasec.com/nvd/cve-2024-0553,fluent/fluent-bit:2.1.8 (debian 11.7),3.7.1-5+deb11u5,false,affected,
fluent/fluent-bit:2.1.8,harvester/v1.4-head,libgnutls30,3.7.1-5+deb11u3,debian,CVE-2024-0567,HIGH,https://avd.aquasec.com/nvd/cve-2024-0567,fluent/fluent-bit:2.1.8 (debian 11.7),3.7.1-5+deb11u5,false,affected,
fluent/fluent-bit:2.1.8,harvester/v1.4-head,libgssapi-krb5-2,1.18.3-6+deb11u3,debian,CVE-2024-37371,CRITICAL,https://avd.aquasec.com/nvd/cve-2024-37371,fluent/fluent-bit:2.1.8 (debian 11.7),1.18.3-6+deb11u5,false,affected,
fluent/fluent-bit:2.1.8,harvester/v1.4-head,libgssapi-krb5-2,1.18.3-6+deb11u3,debian,CVE-2024-37370,HIGH,https://avd.aquasec.com/nvd/cve-2024-37370,fluent/fluent-bit:2.1.8 (debian 11.7),1.18.3-6+deb11u5,false,affected,
fluent/fluent-bit:2.1.8,harvester/v1.4-head,libk5crypto3,1.18.3-6+deb11u3,debian,CVE-2024-37371,CRITICAL,https://avd.aquasec.com/nvd/cve-2024-37371,fluent/fluent-bit:2.1.8 (debian 11.7),1.18.3-6+deb11u5,false,affected,
fluent/fluent-bit:2.1.8,harvester/v1.4-head,libk5crypto3,1.18.3-6+deb11u3,debian,CVE-2024-37370,HIGH,https://avd.aquasec.com/nvd/cve-2024-37370,fluent/fluent-bit:2.1.8 (debian 11.7),1.18.3-6+deb11u5,false,affected,
fluent/fluent-bit:2.1.8,harvester/v1.4-head,libkrb5-3,1.18.3-6+deb11u3,debian,CVE-2024-37371,CRITICAL,https://avd.aquasec.com/nvd/cve-2024-37371,fluent/fluent-bit:2.1.8 (debian 11.7),1.18.3-6+deb11u5,false,affected,
fluent/fluent-bit:2.1.8,harvester/v1.4-head,libkrb5-3,1.18.3-6+deb11u3,debian,CVE-2024-37370,HIGH,https://avd.aquasec.com/nvd/cve-2024-37370,fluent/fluent-bit:2.1.8 (debian 11.7),1.18.3-6+deb11u5,false,affected,
